1. The beginning of The Gospel of Jesus Christ, [The Son of God SG->5];	αρχη του ευαγγελιου ιησου χριστου υιου του θεου.	arche tou euaggeliou iesou christou uiou tou theou.	Mar|1|1|
32. But if we shall say, Of men; they feared the people: for all men counted John, that he was a [prophet PR.B->7] indeed.	αλλα ειπωμεν εξ ανθρωπων - εφοβουντο τον λαον απαντες γαρ ειχον τον ιωαννην οτι οντως προφητης ην.	alla eipomen ex anthropon - ephobounto ton laon apantes gar eichon ton ioannen oti ontos prophetes en.	Mar|11|32|

33. And they answered and said unto Jesus, We cannot tell. And Jesus answering saith unto them, Neither do I tell you by what authority I do these things.	και αποκριθεντες λεγουσι τω ιησου ουκ οιδαμεν. και ο ιησους αποκριθεις λεγει αυτοις ουδε εγω λεγω υμιν εν ποια εξουσια ταυτα ποιω.	kai apokrithentes legousi to iesou ouk oidamen. kai o iesous apokritheis legei autois oude ego lego umin en poia exousia tauta poio.	Mar|11|33|

1. And He began to speak unto them by parables. A certain man planted a Vineyard, and set an hedge about it, and digged a place for the winefat, and built a tower, and let it out to husbandmen, and went into a far country.	και ηρξατο αυτοις εν παραβολαις λεγειν αμπελωνα εφυτευσεν ανθρωπος και περιεθηκε φραγμον και ωρυξεν υποληνιον και ωκοδομησε πυργον και εξεδοτο αυτον γεωργοις και απεδημησε.	kai erxato autois en parabolais legein ampelona ephuteusen anthropos kai perietheke phragmon kai oruxen upolenion kai okodomese purgon kai exedoto auton georgois kai apedemese.	Mar|12|1|

2. And at the season He sent to the husbandmen a servant, that He might receive from the husbandmen of the fruit of the vineyard.	και απεστειλε προς τους γεωργους τω καιρω δουλον ινα παρα των γεωργων λαβη απο του καρπου του αμπελωνος.	kai apesteile pros tous georgous to kairo doulon ina para ton georgon labe apo tou karpou tou ampelonos.	Mar|12|2|

3. And they caught him, and beat him, and sent him away empty.	και λαβοντες αυτον εδειραν και απεστειλαν κενον.	kai labontes auton edeiran kai apesteilan kenon.	Mar|12|3|

4. And again He sent unto them another servant; and at him they cast stones, and wounded him in the head, and sent him away shamefully handled.	και παλιν απεστειλε προς αυτους αλλον δουλον. κακεινον λιθοβολισαντες εκεφαλιωσαν και απεστειλαν ητιμωμενον.	kai palin apesteile pros autous allon doulon. kakeinon lithobolisantes ekephaliosan kai apesteilan etimomenon.	Mar|12|4|

5. And again He sent another; and him they killed, and many others; beating some, and killing some.	και παλιν αλλον απεστειλε κακεινον απεκτειναν και πολλους αλλους ους μεν δεροντες ους δε αποκτεννοντες.	kai palin allon apesteile kakeinon apekteinan kai pollous allous ous men derontes ous de apoktennontes.	Mar|12|5|

6. Having yet therefore One Son, His Beloved, He sent him also last unto them, saying, They will reverence My Son.	ετι ουν ενα υιον εχων αγαπητον αυτου απεστειλε και αυτον εσχατον προς αυτους λεγων οτι εντραπησονται τον υιον μου.	eti oun ena uion echon agapeton autou apesteile kai auton eschaton pros autous legon oti entrapesontai ton uion mou.	Mar|12|6|

7. But those husbandmen said among themselves, This is The Heir; come, let us kill Him, and The Inheritance shall be ours.	εκεινοι δε οι γεωργοι προς εαυτους ειπον οτι ουτος εστιν ο κληρονομος δευτε αποκτεινωμεν αυτον και ημων εσται η κληρονομια.	ekeinoi de oi georgoi pros eautous eipon oti outos estin o kleronomos deute apokteinomen auton kai emon estai e kleronomia.	Mar|12|7|

8. And they took Him, and killed Him, and cast Him out of The Vineyard.	και λαβοντες απεκτειναν αυτον και εξεβαλον αυτον εξω του αμπελωνος.	kai labontes apekteinan auton kai exebalon auton exo tou ampelonos.	Mar|12|8|

9. What shall therefore The Lord of The Vineyard do? He will come and destroy the husbandmen, and will give The Vineyard unto others.	τι ουν ποιησει ο κυριος του αμπελωνος ελευσεται και απολεσει τους γεωργους και δωσει τον αμπελωνα αλλοις.	ti oun poiesei o kurios tou ampelonos eleusetai kai apolesei tous georgous kai dosei ton ampelona allois.	Mar|12|9|

10. And have ye not read this Scripture; The Stone which the builders rejected is become The Head of the corner:	ουδε την γραφην ταυτην ανεγνωτε λιθον ον απεδοκιμασαν οι οικοδομουντες ουτος εγενηθη εις κεφαλην γωνιας	oude ten graphen tauten anegnote lithon on apedokimasan oi oikodomountes outos egenethe eis kephalen gonias	Mar|12|10|

11. This was the Lordís doing, and it is marvellous in our eyes?	παρα κυριου εγενετο αυτη και εστι θαυμαστη εν οφθαλμοις ημων	para kuriou egeneto aute kai esti thaumaste en ophthalmois emon	Mar|12|11|

12. And they sought to lay hold on Him, but feared the people: for they knew that He had spoken the parable against them: and they left Him, and went their way.	και εζητουν αυτον κρατησαι και εφοβηθησαν τον οχλον εγνωσαν γαρ οτι προς αυτους την παραβολην ειπεν και αφεντες αυτον απηλθον.	kai ezetoun auton kratesai kai ephobethesan ton ochlon egnosan gar oti pros autous ten parabolen eipen kai aphentes auton apelthon.	Mar|12|12|

13. And they send unto Him certain of the Pharisees and of the Herodians, to catch Him in His Words.	και αποστελλουσι προς αυτον τινας των φαρισαιων και των ηρωδιανων ινα αυτον αγρευσωσι λογω.	kai apostellousi pros auton tinas ton pharisaion kai ton erodianon ina auton agreusosi logo.	Mar|12|13|

14. And when they were come, they say unto Him, Teacher, we know that Thou art True, and carest for no man: for Thou regardest not the person of men, but teachest The Way of God in Truth: Is it lawful to give tribute to Caesar, or not?	οι δε ελθοντες λεγουσιν αυτω διδασκαλε οιδαμεν οτι αληθης ει και ου μελει σοι περι ουδενος ου γαρ βλεπεις εις προσωπον ανθρωπων αλλ επ αληθειας την οδον του θεου διδασκεις. εξεστι δουναι κηνσον καισαρι η ου δωμεν η μη δωμεν	oi de elthontes legousin auto didaskale oidamen oti alethes ei kai ou melei soi peri oudenos ou gar blepeis eis prosopon anthropon all ep aletheias ten odon tou theou didaskeis. exesti dounai kenson kaisari e ou domen e me domen	Mar|12|14|

15. Shall we give, or shall we not give? But He, knowing their hypocrisy, said unto them, Why tempt ye Me? bring Me a penny, that I may see it.	ο δε ειδως αυτων την υποκρισιν ειπεν αυτοις τι με πειραζετε φερετε μοι δηναριον ινα ιδω.	o de eidos auton ten upokrisin eipen autois ti me peirazete pherete moi denarion ina ido.	Mar|12|15|

16. And they brought it. And He saith unto them, Whose is this image and superscription? And they said unto Him, Caesarís.	οι δε ηνεγκαν. και λεγει αυτοις τινος η εικων αυτη και η επιγραφη οι δε ειπον αυτω καισαρος.	oi de enegkan. kai legei autois tinos e eikon aute kai e epigraphe oi de eipon auto kaisaros.	Mar|12|16|

17. And Jesus answering said unto them, Render to Caesar the things that are Caesarís, and to God the things that are Godís. And they marvelled at Him.	και αποκριθεις ο ιησους ειπεν αυτοις αποδοτε τα καισαρος καισαρι και τα του θεου τω θεω. και εθαυμασαν επ αυτω.	kai apokritheis o iesous eipen autois apodote ta kaisaros kaisari kai ta tou theou to theo. kai ethaumasan ep auto.	Mar|12|17|

18. Then come unto Him the Sadducees, which say there is no [Resurrection RS->5]; and they asked Him, saying,	και ερχονται σαδδουκαιοι προς αυτον οιτινες λεγουσιν αναστασιν μη ειναι και επηρωτων αυτον λεγοντες	kai erchontai saddoukaioi pros auton oitines legousin anastasin me einai kai eperoton auton legontes	Mar|12|18|

19. Teacher, Moses wrote unto us, If a manís brother die, and leave his wife behind him, and leave no children, that his brother should take his wife, and raise up seed unto his brother.	διδασκαλε μωϋσης εγραψεν ημιν οτι εαν τινος αδελφος αποθανη και καταλιπη γυναικα και τεκνα μη αφη ινα λαβη ο αδελφος αυτου την γυναικα αυτου και εξαναστηση σπερμα τω αδελφω αυτου.	didaskale moüses egrapsen emin oti ean tinos adelphos apothane kai katalipe gunaika kai tekna me aphe ina labe o adelphos autou ten gunaika autou kai exanastese sperma to adelpho autou.	Mar|12|19|
